task_uid,assigned_resource_ids,task_start,task_end,resource_intervals,planned_task_start,planned_task_end
WO108551-10,[93],138810.0,139050.0,"[[[138810.0,139050.0]]]",2024-12-02 09:30:00,2024-12-02 13:30:00
WO116227-10,[101],510.0,540.0,"[[[510.0,540.0]]]",2024-08-28 08:30:00,2024-08-28 09:00:00
WO116227-20,[71],540.0,570.0,"[[[540.0,570.0]]]",2024-08-28 09:00:00,2024-08-28 09:30:00
WO116227-40,[65],460.0,603.0,"[[[460.0,603.0]]]",2024-08-28 07:40:00,2024-08-28 10:03:00
WO118375-10,[69],19110.0,20649.0,"[[[19110.0,19635.0],[20550.0,20649.0]]]",2024-09-10 06:30:00,2024-09-11 08:09:00
WO118375-20,[69],20649.0,20686.0,"[[[20649.0,20686.0]]]",2024-09-11 08:09:00,2024-09-11 08:46:00
WO120174-10,[107],10963.0,10993.0,"[[[10963.0,10993.0]]]",2024-09-04 14:43:00,2024-09-04 15:13:00
WO120255-10,[244],301350.0,333435.0,"[[[301350.0,301875.0],[302790.0,303315.0],[304230.0,304755.0],[305670.0,305985.0],[309990.0,310252.0],[311430.0,311692.0],[312870.0,313132.0],[314310.0,314572.0],[315750.0,315907.0],[320070.0,320595.0],[321510.0,322035.0],[322950.0,323475.0],[324390.0,324915.0],[325830.0,326145.0],[330150.0,330675.0],[331590.0,332115.0],[333030.0,333435.0]]]",2025-03-25 06:30:00,2025-04-16 13:15:00
WO120413-10,[62],85350.0,85782.0,"[[[85350.0,85782.0]]]",2024-10-26 06:30:00,2024-10-26 13:42:00
WO120413-20,[244],249748.0,250000.0,"[[[249748.0,250000.0]]]",2025-02-17 10:28:00,2025-02-17 14:40:00
WO120434-10,[23],82470.0,84062.0,"[[[82470.0,82995.0],[83910.0,84062.0]]]",2024-10-24 06:30:00,2024-10-25 09:02:00
WO120450-10,[103],64050.0,81039.0,"[[[64050.0,64065.0],[78150.0,78675.0],[79590.0,80115.0],[81030.0,81039.0]]]",2024-10-11 11:30:00,2024-10-23 06:39:00
WO120483-10,[244],490.0,520.0,"[[[490.0,520.0]]]",2024-08-28 08:10:00,2024-08-28 08:40:00
WO121342-10,[107],420.0,450.0,"[[[420.0,450.0]]]",2024-08-28 07:00:00,2024-08-28 07:30:00
WO121505-10,[103],88230.0,103097.0,"[[[88230.0,88755.0],[89670.0,90195.0],[91110.0,91635.0],[92550.0,93075.0],[93990.0,94305.0],[98310.0,98835.0],[99750.0,100275.0],[101190.0,101715.0],[102630.0,103097.0]]]",2024-10-28 06:30:00,2024-11-07 14:17:00
WO121505-20,[80],104070.0,114312.0,"[[[104070.0,104385.0],[108390.0,108915.0],[109830.0,110355.0],[111270.0,111795.0],[112710.0,113235.0],[114150.0,114312.0]]]",2024-11-08 06:30:00,2024-11-15 09:12:00
WO121505-30,[80],118470.0,120022.0,"[[[118470.0,118995.0],[119910.0,120022.0]]]",2024-11-18 06:30:00,2024-11-19 08:22:00
WO122639-10,[192],47910.0,53682.0,"[[[47910.0,48435.0],[49350.0,49875.0],[50790.0,51315.0],[52230.0,52755.0],[53670.0,53682.0]]]",2024-09-30 06:30:00,2024-10-04 06:42:00
WO122640-10,[62],85782.0,88672.0,"[[[85782.0,85995.0],[88230.0,88672.0]]]",2024-10-26 13:42:00,2024-10-28 13:52:00
WO122640-20,[79],89670.0,99796.0,"[[[89670.0,90195.0],[91110.0,91635.0],[92550.0,93075.0],[93990.0,94305.0],[98310.0,98835.0],[99750.0,99796.0]]]",2024-10-29 06:30:00,2024-11-05 07:16:00
WO122777-10,[244],2050.0,2151.0,"[[[2050.0,2151.0]]]",2024-08-29 10:10:00,2024-08-29 11:51:00
WO122780-10,[173],690.0,720.0,"[[[690.0,720.0]]]",2024-08-28 11:30:00,2024-08-28 12:00:00
